ESPECIALIDAD;CODIGO PRESTACION;PROCEDIMIENTO A REALIZAR;MEDIO DE CONTRASTE;REQUIERE_LATERALIDAD
ANGIOGRAFÍA POR RM;405023;ANGIORM DE EXTEMIDAD INFERIOR ;SI;SI
ANGIOGRAFÍA POR RM;405022;ANGIORM DE EXTREMIDAD SUPERIOR;SI;SI
ANGIOGRAFÍA POR RM;405022;ANGIORM DE EXTREMIDAD  EN ZONA DIRIGIDA;SI;SI
ANGIOGRAFÍA POR RM;;ANGIORM DE CUERPO COMPLETO;SI;NO
;;;;
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;ESPECTROSCOPÍA CEREBRAL POR RM;SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;ESTUDIO DE FLUJO LCR o CEREBRAL POR RM;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405016;MIELOGRAFÍA MEDULAR POR RM (MIELO-RM o RM DE MÉDULA);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;NEUROTRACTOGRAFÍA DE NERVIO PERIFÉRICO POR RM;SI;SI
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;PERFUSIÓN CEREBRAL POR RM;SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM DE NERVIO PERIFÉRICO;SI;SI
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;TRACTOGRAFÍA CEREBRAL POR RM;SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;ESTUDIO DE CARTÍLAGO POR RM (Mapping T2);NO;SI
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM DE EXTREMIDADES INFERIORES (Protocolo de Torsión Femoral);NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM DE RODILLA (Protocolo Disfunción Patelofemoral);NO;SI
;;;;
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;CARDIO RESONANCIA MAGNÉTICA (CARDIO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;SIALOGRAFÍA POR RESONANCIA MAGNÉTICA (SIALO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM DE LARINGE (Protocolo Cuerdas vocales y Fonación);NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405011;URETROGRAFÍA POR RESONANCIA MAGNÉTICA (URETRO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405011;CISTOGRAFÍA MICCIONAL POR RESONANCIA MAGNÉTICA (CISTO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405012;UROGRAFÍA POR RESONANCIA MAGNÉTICA (URO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405012;ENTEROGRAFÍA POR RESONANCIA MAGNÉTICA (ENTERO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405011;DEFECOGRAFÍA POR RESONANCIA MAGNÉTICA (DEFECO-RM);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;ELASTOGRAFÍA POR RESONANCIA MAGNÉTICA (ELASTO-RM);NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM DE CUERPO COMPLETO;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;LINFO-RM O LINFOGRAFÍA POR RESONANCIA MAGNÉTICA DE CUERPO COMPLETO;SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;LINFO-RM O LINFOGRAFÍA POR RESONANCIA MAGNÉTICA (ZONA DIRIGIDA);SI;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405032;RESONANCIA MAGNÉTICA FETAL;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405001;RM DE CEREBRO FETAL;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;405032;RM DE CUERPO FETAL;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;RM MÚSCULO ESQUELÉTICA FETAL;NO;NO
ESTUDIOS O PROCEDIMIENTOS AVANZADOS;;;;
